Year,Team,Team_Continent,Host_Continent,Pre_Tournament_World_Ranking,Games_Played_Last_4_Years,Wins_Last_4_Years,Draws_Last_4_Years,Losses_Last_4_Years,Goals_For_Last_4_Years,Goals_Against_Last_4_Years,Group_Goals_For,Group_Goals_Against,Avg_Group_Goals_For,Avg_Group_Goals_Against,Avg_Group_Goal_Difference,Playoff_Goals_For,Playoff_Goals_Against,Playoff_Matches_Played,Avg_Playoff_Goals_For,Avg_Playoff_Goals_Against,Avg_Playoff_Goal_Difference,WorldCup_Classification,Goal_Difference_Last_4_Years
2006,Ivory Coast,Africa,Europe,32.0,36,20,8,8,64,34,5,6,1.6666666666666667,2.0,-0.3333333333333333,0,0,0,0.0,0.0,0.0,19,0.8333333333333334
2006,Czech Republic,Europe,Europe,2.0,44,32,5,7,110,37,3,4,1.0,1.3333333333333333,-0.3333333333333333,0,0,0,0.0,0.0,0.0,20,1.6590909090909092
2006,Poland,Europe,Europe,29.0,52,31,7,14,101,54,2,4,0.6666666666666666,1.3333333333333333,-0.6666666666666666,0,0,0,0.0,0.0,0.0,21,0.9038461538461539
2006,Croatia,Europe,Europe,23.0,44,22,14,8,71,42,2,3,0.6666666666666666,1.0,-0.3333333333333333,0,0,0,0.0,0.0,0.0,22,0.6590909090909091
2006,Angola,Africa,Europe,57.0,45,19,14,12,59,46,1,2,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0,0,0,0.0,0.0,0.0,23,0.28888888888888886
2006,Tunisia,Africa,Europe,21.0,48,26,13,9,76,44,3,6,1.0,2.0,-1.0,0,0,0,0.0,0.0,0.0,24,0.6666666666666666
2006,Iran,Asia,Europe,23.0,50,32,10,8,113,44,2,6,0.6666666666666666,2.0,-1.3333333333333333,0,0,0,0.0,0.0,0.0,25,1.38
2006,United States,North America,Europe,5.0,61,38,13,10,108,38,2,6,0.6666666666666666,2.0,-1.3333333333333333,0,0,0,0.0,0.0,0.0,26,1.1475409836065573
2006,Trinidad and Tobago,North America,Europe,47.0,70,32,10,28,98,90,0,4,0.0,1.3333333333333333,-1.3333333333333333,0,0,0,0.0,0.0,0.0,27,0.11428571428571428
2006,Japan,Asia,Europe,18.0,67,35,15,17,110,63,2,7,0.6666666666666666,2.333333333333333,-1.6666666666666667,0,0,0,0.0,0.0,0.0,28,0.7014925373134329
2006,Saudi Arabia,Asia,Europe,34.0,65,31,18,16,109,59,2,7,0.6666666666666666,2.333333333333333,-1.6666666666666667,0,0,0,0.0,0.0,0.0,29,0.7692307692307693
2006,Togo,Africa,Europe,61.0,33,16,5,12,43,37,1,6,0.3333333333333333,2.0,-1.6666666666666667,0,0,0,0.0,0.0,0.0,30,0.18181818181818182
2006,Costa Rica,North America,Europe,26.0,62,26,11,25,89,84,3,9,1.0,3.0,-2.0,0,0,0,0.0,0.0,0.0,31,0.08064516129032258
2006,Serbia and Montenegro,Europe,Europe,44.0,0,0,0,0,0,0,2,10,0.6666666666666666,3.333333333333333,-2.6666666666666665,0,0,0,0.0,0.0,0.0,32,
2007,Germany,Europe,Asia,,57,33,12,12,132,64,13,0,4.333333333333333,0.0,4.333333333333333,8,0,3,2.6666666666666665,0.0,2.6666666666666665,1,1.1929824561403508
2007,Brazil,South America,Asia,,55,34,15,6,126,42,10,0,3.333333333333333,0.0,3.333333333333333,7,4,3,2.333333333333333,1.3333333333333333,1.0,2,1.5272727272727273
2007,United States,North America,Asia,,50,29,13,8,85,35,5,2,1.6666666666666667,0.6666666666666666,1.0,7,5,3,2.333333333333333,1.6666666666666667,0.6666666666666666,3,1.0
2007,Norway,Europe,Asia,,48,19,14,15,64,53,10,4,3.333333333333333,1.3333333333333333,2.0,2,7,3,0.6666666666666666,2.333333333333333,-1.6666666666666667,4,0.22916666666666666
2007,China,Asia,Asia,,0,0,0,0,0,0,5,6,1.6666666666666667,2.0,-0.3333333333333333,0,1,1,0.0,1.0,-1.0,5,
2007,Australia,Asia,Asia,,41,22,8,11,89,44,7,4,2.333333333333333,1.3333333333333333,1.0,2,3,1,2.0,3.0,-1.0,6,1.0975609756097562
2007,England,Europe,Asia,,47,28,11,8,87,38,8,3,2.6666666666666665,1.0,1.6666666666666667,0,3,1,0.0,3.0,-3.0,7,1.0425531914893618
2007,Canada,North America,Asia,,27,10,3,14,30,35,7,4,2.333333333333333,1.3333333333333333,1.0,0,0,0,0.0,0.0,0.0,8,-0.18518518518518517
2007,Japan,Asia,Asia,,69,40,13,16,117,60,3,4,1.0,1.3333333333333333,-0.3333333333333333,0,0,0,0.0,0.0,0.0,9,0.8260869565217391
2007,Sweden,Europe,Asia,,53,21,16,16,86,55,3,4,1.0,1.3333333333333333,-0.3333333333333333,0,0,0,0.0,0.0,0.0,10,0.5849056603773585
2007,North Korea,Asia,Asia,,29,9,7,13,52,35,5,4,1.6666666666666667,1.3333333333333333,0.3333333333333333,0,3,1,0.0,3.0,-3.0,11,0.5862068965517241
2007,Denmark,Europe,Asia,,39,19,13,7,70,40,4,4,1.3333333333333333,1.3333333333333333,0.0,0,0,0,0.0,0.0,0.0,12,0.7692307692307693
2007,Nigeria,Africa,Asia,,34,21,6,7,54,29,1,4,0.3333333333333333,1.3333333333333333,-1.0,0,0,0,0.0,0.0,0.0,13,0.7352941176470589
2007,New Zealand,Oceania,Asia,,18,6,2,10,27,34,0,9,0.0,3.0,-3.0,0,0,0,0.0,0.0,0.0,14,-0.3888888888888889
2007,Ghana,Africa,Asia,,37,18,10,9,56,29,3,15,1.0,5.0,-4.0,0,0,0,0.0,0.0,0.0,15,0.7297297297297297
2007,Argentina,South America,Asia,,51,28,12,11,93,57,1,18,0.3333333333333333,6.0,-5.666666666666667,0,0,0,0.0,0.0,0.0,16,0.7058823529411765
2010,Spain,Europe,Africa,2.0,52,44,4,4,114,31,4,2,1.3333333333333333,0.6666666666666666,0.6666666666666666,4,0,4,1.0,0.0,1.0,1,1.5961538461538463
2010,Netherlands,Europe,Africa,4.0,46,31,10,5,85,29,5,1,1.6666666666666667,0.3333333333333333,1.3333333333333333,7,5,4,1.75,1.25,0.5,2,1.2173913043478262
2010,Germany,Europe,Africa,6.0,48,33,8,7,116,35,5,1,1.6666666666666667,0.3333333333333333,1.3333333333333333,11,4,4,2.75,1.0,1.75,3,1.6875
2010,Uruguay,South America,Africa,16.0,43,19,13,11,71,47,4,0,1.3333333333333333,0.0,1.3333333333333333,7,8,4,1.75,2.0,-0.25,4,0.5581395348837209
2010,Argentina,South America,Africa,7.0,49,29,8,12,84,50,7,1,2.333333333333333,0.3333333333333333,2.0,3,5,2,1.5,2.5,-1.0,5,0.6938775510204082
2010,Brazil,South America,Africa,1.0,52,36,11,5,106,36,5,2,1.6666666666666667,0.6666666666666666,1.0,4,2,2,2.0,1.0,1.0,6,1.3461538461538463
2010,Ghana,Africa,Africa,32.0,48,25,9,14,71,48,2,2,0.6666666666666666,0.6666666666666666,0.0,3,2,2,1.5,1.0,0.5,7,0.4791666666666667
2010,Paraguay,South America,Africa,31.0,48,16,14,18,50,54,3,1,1.0,0.3333333333333333,0.6666666666666666,0,1,2,0.0,0.5,-0.5,8,-0.08333333333333333
2010,Japan,Asia,Africa,45.0,65,36,17,12,117,51,4,2,1.3333333333333333,0.6666666666666666,0.6666666666666666,0,0,1,0.0,0.0,0.0,9,1.0153846153846153
2010,Chile,South America,Africa,18.0,59,31,11,17,79,65,3,2,1.0,0.6666666666666666,0.3333333333333333,0,3,1,0.0,3.0,-3.0,10,0.23728813559322035
2010,Portugal,Europe,Africa,3.0,44,23,13,8,74,37,7,0,2.333333333333333,0.0,2.333333333333333,0,1,1,0.0,1.0,-1.0,11,0.8409090909090909
2010,United States,North America,Africa,14.0,60,35,6,19,109,73,4,3,1.3333333333333333,1.0,0.3333333333333333,1,2,1,1.0,2.0,-1.0,12,0.6
2010,England,Europe,Africa,8.0,42,27,6,9,93,32,2,1,0.6666666666666666,0.3333333333333333,0.3333333333333333,1,4,1,1.0,4.0,-3.0,13,1.4523809523809523
2010,Mexico,North America,Africa,17.0,70,41,10,19,131,66,3,2,1.0,0.6666666666666666,0.3333333333333333,1,3,1,1.0,3.0,-2.0,14,0.9285714285714286
2010,South Korea,Asia,Africa,47.0,54,26,18,10,81,42,5,6,1.6666666666666667,2.0,-0.3333333333333333,1,2,1,1.0,2.0,-1.0,15,0.7222222222222222
2010,Slovakia,Europe,Africa,34.0,42,17,6,19,79,64,4,5,1.3333333333333333,1.6666666666666667,-0.3333333333333333,1,2,1,1.0,2.0,-1.0,16,0.35714285714285715
2010,Ivory Coast,Africa,Africa,27.0,47,25,13,9,94,41,4,3,1.3333333333333333,1.0,0.3333333333333333,0,0,0,0.0,0.0,0.0,17,1.127659574468085
2010,Slovenia,Europe,Africa,25.0,35,13,6,16,44,39,3,3,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,18,0.14285714285714285
2010,Switzerland,Europe,Africa,24.0,38,18,6,14,57,43,1,1,0.3333333333333333,0.3333333333333333,0.0,0,0,0,0.0,0.0,0.0,19,0.3684210526315789
2010,South Africa,Africa,Africa,83.0,69,30,17,22,79,54,3,5,1.0,1.6666666666666667,-0.6666666666666666,0,0,0,0.0,0.0,0.0,20,0.36231884057971014
2010,Australia,Asia,Africa,20.0,43,22,12,9,57,30,3,6,1.0,2.0,-1.0,0,0,0,0.0,0.0,0.0,21,0.627906976744186
2010,New Zealand,Oceania,Africa,78.0,22,8,4,10,27,37,2,2,0.6666666666666666,0.6666666666666666,0.0,0,0,0,0.0,0.0,0.0,22,-0.45454545454545453
2010,Serbia,Europe,Africa,15.0,43,22,10,11,73,38,2,3,0.6666666666666666,1.0,-0.3333333333333333,0,0,0,0.0,0.0,0.0,23,0.813953488372093
2010,Denmark,Europe,Africa,36.0,40,19,11,10,61,38,3,6,1.0,2.0,-1.0,0,0,0,0.0,0.0,0.0,24,0.575
2010,Greece,Europe,Africa,13.0,42,21,8,13,63,47,2,5,0.6666666666666666,1.6666666666666667,-1.0,0,0,0,0.0,0.0,0.0,25,0.38095238095238093
2010,Italy,Europe,Africa,5.0,45,24,13,8,67,42,4,5,1.3333333333333333,1.6666666666666667,-0.3333333333333333,0,0,0,0.0,0.0,0.0,26,0.5555555555555556
2010,Nigeria,Africa,Africa,21.0,43,23,12,8,55,28,3,5,1.0,1.6666666666666667,-0.6666666666666666,0,0,0,0.0,0.0,0.0,27,0.627906976744186
2010,Algeria,Africa,Africa,30.0,38,17,7,14,42,46,0,2,0.0,0.6666666666666666,-0.6666666666666666,0,0,0,0.0,0.0,0.0,28,-0.10526315789473684
2010,France,Europe,Africa,9.0,47,26,11,10,67,36,1,4,0.3333333333333333,1.3333333333333333,-1.0,0,0,0,0.0,0.0,0.0,29,0.6595744680851063
2010,Honduras,North America,Africa,38.0,62,37,7,18,110,60,0,3,0.0,1.0,-1.0,0,0,0,0.0,0.0,0.0,30,0.8064516129032258
2010,Cameroon,Africa,Africa,19.0,41,22,10,9,72,38,2,5,0.6666666666666666,1.6666666666666667,-1.0,0,0,0,0.0,0.0,0.0,31,0.8292682926829268
2010,North Korea,Asia,Africa,105.0,54,21,19,14,88,41,1,12,0.3333333333333333,4.0,-3.6666666666666665,0,0,0,0.0,0.0,0.0,32,0.8703703703703703
2011,Japan,Asia,Europe,,64,36,17,11,113,52,6,3,2.0,1.0,1.0,6,3,3,2.0,1.0,1.0,1,0.953125
2011,United States,North America,Europe,,59,29,11,19,98,73,6,2,2.0,0.6666666666666666,1.3333333333333333,7,5,3,2.333333333333333,1.6666666666666667,0.6666666666666666,2,0.423728813559322
2011,Sweden,Europe,Europe,,48,25,9,14,63,41,4,1,1.3333333333333333,0.3333333333333333,1.0,6,5,3,2.0,1.6666666666666667,0.3333333333333333,3,0.4583333333333333
2011,France,Europe,Europe,,49,23,13,13,61,41,7,4,2.333333333333333,1.3333333333333333,1.0,3,6,3,1.0,2.0,-1.0,4,0.40816326530612246
2011,Brazil,South America,Europe,,49,35,8,6,101,32,7,0,2.333333333333333,0.0,2.333333333333333,2,2,1,2.0,2.0,0.0,5,1.4081632653061225
2011,Germany,Europe,Europe,,55,36,10,9,121,42,7,3,2.333333333333333,1.0,1.3333333333333333,0,1,1,0.0,1.0,-1.0,6,1.4363636363636363
2011,England,Europe,Europe,,43,28,6,9,93,38,5,2,1.6666666666666667,0.6666666666666666,1.0,1,1,1,1.0,1.0,0.0,7,1.2790697674418605
2011,Australia,Asia,Europe,,48,26,12,10,60,34,5,4,1.6666666666666667,1.3333333333333333,0.3333333333333333,1,3,1,1.0,3.0,-2.0,8,0.5416666666666666
2011,Nigeria,Africa,Europe,,46,23,13,10,63,31,1,2,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0,0,0,0.0,0.0,0.0,9,0.6956521739130435
2011,Norway,Europe,Europe,,35,17,8,10,46,37,2,5,0.6666666666666666,1.6666666666666667,-1.0,0,0,0,0.0,0.0,0.0,10,0.2571428571428571
2011,Mexico,North America,Europe,,65,34,14,17,116,63,3,7,1.0,2.333333333333333,-1.3333333333333333,0,0,0,0.0,0.0,0.0,11,0.8153846153846154
2011,New Zealand,Oceania,Europe,,26,8,8,10,30,35,4,6,1.3333333333333333,2.0,-0.6666666666666666,0,0,0,0.0,0.0,0.0,12,-0.19230769230769232
2011,North Korea,Asia,Europe,,68,26,22,20,92,60,0,3,0.0,1.0,-1.0,0,0,0,0.0,0.0,0.0,13,0.47058823529411764
2011,Colombia,South America,Europe,,44,16,11,17,44,44,0,4,0.0,1.3333333333333333,-1.3333333333333333,0,0,0,0.0,0.0,0.0,14,0.0
2011,Equatorial Guinea,Africa,Europe,,13,3,1,9,8,23,2,7,0.6666666666666666,2.333333333333333,-1.6666666666666667,0,0,0,0.0,0.0,0.0,15,-1.1538461538461537
2011,Canada,North America,Europe,,31,9,8,14,34,45,1,7,0.3333333333333333,2.333333333333333,-2.0,0,0,0,0.0,0.0,0.0,16,-0.3548387096774194
2014,Germany,Europe,South America,2.0,47,31,10,6,119,57,7,2,2.333333333333333,0.6666666666666666,1.6666666666666667,11,2,4,2.75,0.5,2.25,1,1.3191489361702127
2014,Argentina,South America,South America,5.0,49,27,15,7,93,46,6,3,2.0,1.0,1.0,2,1,4,0.5,0.25,0.25,2,0.9591836734693877
2014,Netherlands,Europe,South America,15.0,45,26,11,8,104,39,10,3,3.333333333333333,1.0,2.333333333333333,5,1,4,1.25,0.25,1.0,3,1.4444444444444444
2014,Brazil,South America,South America,3.0,53,35,10,8,120,38,7,2,2.333333333333333,0.6666666666666666,1.6666666666666667,4,12,4,1.0,3.0,-2.0,4,1.5471698113207548
2014,Colombia,South America,South America,8.0,40,21,11,8,55,25,9,2,3.0,0.6666666666666666,2.333333333333333,3,2,2,1.5,1.0,0.5,5,0.75
2014,Belgium,Europe,South America,11.0,39,19,12,8,68,41,4,1,1.3333333333333333,0.3333333333333333,1.0,2,2,2,1.0,1.0,0.0,6,0.6923076923076923
2014,France,Europe,South America,17.0,47,26,11,10,73,33,8,2,2.6666666666666665,0.6666666666666666,2.0,2,1,2,1.0,0.5,0.5,7,0.851063829787234
2014,Costa Rica,North America,South America,28.0,65,24,19,22,77,65,4,1,1.3333333333333333,0.3333333333333333,1.0,1,1,2,0.5,0.5,0.0,8,0.18461538461538463
2014,Chile,South America,South America,14.0,48,24,9,15,84,58,5,3,1.6666666666666667,1.0,0.6666666666666666,1,1,1,1.0,1.0,0.0,9,0.5416666666666666
2014,Mexico,North America,South America,20.0,62,34,13,15,109,56,4,1,1.3333333333333333,0.3333333333333333,1.0,1,2,1,1.0,2.0,-1.0,10,0.8548387096774194
2014,Switzerland,Europe,South America,6.0,35,18,11,6,52,33,7,6,2.333333333333333,2.0,0.3333333333333333,0,1,1,0.0,1.0,-1.0,11,0.5428571428571428
2014,Uruguay,South America,South America,7.0,49,24,14,11,91,56,4,4,1.3333333333333333,1.3333333333333333,0.0,0,2,1,0.0,2.0,-2.0,12,0.7142857142857143
2014,Greece,Europe,South America,12.0,43,24,14,5,51,30,2,4,0.6666666666666666,1.3333333333333333,-0.6666666666666666,1,1,1,1.0,1.0,0.0,13,0.4883720930232558
2014,Algeria,Africa,South America,22.0,32,18,6,8,47,28,6,5,2.0,1.6666666666666667,0.3333333333333333,1,2,1,1.0,2.0,-1.0,14,0.59375
2014,United States,North America,South America,13.0,59,32,11,16,89,62,4,4,1.3333333333333333,1.3333333333333333,0.0,1,2,1,1.0,2.0,-1.0,15,0.4576271186440678
2014,Nigeria,Africa,South America,44.0,50,24,18,8,86,44,3,3,1.0,1.0,0.0,0,2,1,0.0,2.0,-2.0,16,0.84
2014,Ecuador,South America,South America,26.0,46,18,15,13,72,55,3,3,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,17,0.3695652173913043
2014,Portugal,Europe,South America,4.0,43,23,12,8,85,45,4,7,1.3333333333333333,2.333333333333333,-1.0,0,0,0,0.0,0.0,0.0,18,0.9302325581395349
2014,Croatia,Europe,South America,18.0,42,22,11,9,66,39,6,6,2.0,2.0,0.0,0,0,0,0.0,0.0,0.0,19,0.6428571428571429
2014,Bosnia and Herzegovina,Europe,South America,21.0,37,19,7,11,68,41,4,4,1.3333333333333333,1.3333333333333333,0.0,0,0,0,0.0,0.0,0.0,20,0.7297297297297297
2014,Ivory Coast,Africa,South America,23.0,42,27,10,5,86,39,4,5,1.3333333333333333,1.6666666666666667,-0.3333333333333333,0,0,0,0.0,0.0,0.0,21,1.119047619047619
2014,Italy,Europe,South America,9.0,52,22,19,11,78,54,2,3,0.6666666666666666,1.0,-0.3333333333333333,0,0,0,0.0,0.0,0.0,22,0.46153846153846156
2014,Spain,Europe,South America,1.0,53,39,8,6,123,39,4,7,1.3333333333333333,2.333333333333333,-1.0,0,0,0,0.0,0.0,0.0,23,1.5849056603773586
2014,Russia,Europe,South America,19.0,43,23,14,6,65,25,2,3,0.6666666666666666,1.0,-0.3333333333333333,0,0,0,0.0,0.0,0.0,24,0.9302325581395349
2014,Ghana,Africa,South America,37.0,50,26,11,13,82,41,4,6,1.3333333333333333,2.0,-0.6666666666666666,0,0,0,0.0,0.0,0.0,25,0.82
2014,England,Europe,South America,10.0,41,24,12,5,81,34,2,4,0.6666666666666666,1.3333333333333333,-0.6666666666666666,0,0,0,0.0,0.0,0.0,26,1.146341463414634
2014,South Korea,Asia,South America,57.0,50,24,11,15,76,58,3,6,1.0,2.0,-1.0,0,0,0,0.0,0.0,0.0,27,0.36
2014,Iran,Asia,South America,43.0,53,31,14,8,98,36,1,4,0.3333333333333333,1.3333333333333333,-1.0,0,0,0,0.0,0.0,0.0,28,1.169811320754717
2014,Japan,Asia,South America,46.0,52,30,11,11,95,53,2,6,0.6666666666666666,2.0,-1.3333333333333333,0,0,0,0.0,0.0,0.0,29,0.8076923076923077
2014,Australia,Asia,South America,62.0,49,25,11,13,93,56,3,9,1.0,3.0,-2.0,0,0,0,0.0,0.0,0.0,30,0.7551020408163265
2014,Honduras,North America,South America,33.0,59,21,17,21,72,73,1,8,0.3333333333333333,2.6666666666666665,-2.333333333333333,0,0,0,0.0,0.0,0.0,31,-0.01694915254237288
2014,Cameroon,Africa,South America,56.0,40,19,13,8,58,35,1,9,0.3333333333333333,3.0,-2.6666666666666665,0,0,0,0.0,0.0,0.0,32,0.575
2015,United States,North America,North America,,60,33,10,17,97,67,4,1,1.3333333333333333,0.3333333333333333,1.0,10,2,4,2.5,0.5,2.0,1,0.5
2015,Japan,Asia,North America,,57,33,9,15,112,67,4,1,1.3333333333333333,0.3333333333333333,1.0,7,7,4,1.75,1.75,0.0,2,0.7894736842105263
2015,England,Europe,North America,,45,26,13,6,88,35,4,3,1.3333333333333333,1.0,0.3333333333333333,6,4,4,1.5,1.0,0.5,3,1.1777777777777778
2015,Germany,Europe,North America,,52,34,11,7,131,65,15,1,5.0,0.3333333333333333,4.666666666666667,5,5,4,1.25,1.25,0.0,4,1.2692307692307692
2015,France,Europe,North America,,50,27,13,10,86,37,6,2,2.0,0.6666666666666666,1.3333333333333333,4,1,2,2.0,0.5,1.5,5,0.98
2015,Brazil,South America,North America,,57,41,8,8,137,48,4,0,1.3333333333333333,0.0,1.3333333333333333,0,1,1,0.0,1.0,-1.0,6,1.5614035087719298
2015,Canada,North America,North America,,33,9,11,13,33,34,2,1,0.6666666666666666,0.3333333333333333,0.3333333333333333,2,2,2,1.0,1.0,0.0,7,-0.030303030303030304
2015,Norway,Europe,North America,,41,15,8,18,45,55,8,2,2.6666666666666665,0.6666666666666666,2.0,1,2,1,1.0,2.0,-1.0,8,-0.24390243902439024
2015,Australia,Asia,North America,,51,23,10,18,95,69,4,4,1.3333333333333333,1.3333333333333333,0.0,1,1,2,0.5,0.5,0.0,9,0.5098039215686274
2015,China,Asia,North America,,0,0,0,0,0,0,3,3,1.0,1.0,0.0,1,1,2,0.5,0.5,0.0,10,
2015,Cameroon,Africa,North America,,51,23,17,11,71,51,9,3,3.0,1.0,2.0,0,1,1,0.0,1.0,-1.0,11,0.39215686274509803
2015,Colombia,South America,North America,,37,24,7,6,70,24,4,3,1.3333333333333333,1.0,0.3333333333333333,0,2,1,0.0,2.0,-2.0,12,1.2432432432432432
2015,Netherlands,Europe,North America,,50,27,11,12,109,46,2,2,0.6666666666666666,0.6666666666666666,0.0,1,2,1,1.0,2.0,-1.0,13,1.26
2015,South Korea,Asia,North America,,55,25,9,21,74,66,4,5,1.3333333333333333,1.6666666666666667,-0.3333333333333333,0,3,1,0.0,3.0,-3.0,14,0.14545454545454545
2015,Switzerland,Europe,North America,,38,22,8,8,65,37,11,4,3.6666666666666665,1.3333333333333333,2.333333333333333,0,1,1,0.0,1.0,-1.0,15,0.7368421052631579
2015,Sweden,Europe,North America,,50,27,7,16,83,58,4,4,1.3333333333333333,1.3333333333333333,0.0,1,4,1,1.0,4.0,-3.0,16,0.5
2015,Thailand,Asia,North America,,47,22,7,18,76,58,3,10,1.0,3.333333333333333,-2.333333333333333,0,0,0,0.0,0.0,0.0,17,0.3829787234042553
2015,Costa Rica,North America,North America,,58,25,16,17,77,56,3,4,1.0,1.3333333333333333,-0.3333333333333333,0,0,0,0.0,0.0,0.0,18,0.3620689655172414
2015,New Zealand,Oceania,North America,,26,11,6,9,39,37,2,3,0.6666666666666666,1.0,-0.3333333333333333,0,0,0,0.0,0.0,0.0,19,0.07692307692307693
2015,Spain,Europe,North America,,54,37,7,10,118,39,2,4,0.6666666666666666,1.3333333333333333,-0.6666666666666666,0,0,0,0.0,0.0,0.0,20,1.462962962962963
2015,Nigeria,Africa,North America,,58,23,22,13,84,54,3,6,1.0,2.0,-1.0,0,0,0,0.0,0.0,0.0,21,0.5172413793103449
2015,Mexico,North America,North America,,55,29,11,15,85,49,2,8,0.6666666666666666,2.6666666666666665,-2.0,0,0,0,0.0,0.0,0.0,22,0.6545454545454545
2015,Ivory Coast,Africa,North America,,57,31,16,10,104,60,3,16,1.0,5.333333333333333,-4.333333333333333,0,0,0,0.0,0.0,0.0,23,0.7719298245614035
2015,Ecuador,South America,North America,,36,17,9,10,61,42,1,17,0.3333333333333333,5.666666666666667,-5.333333333333333,0,0,0,0.0,0.0,0.0,24,0.5277777777777778
2018,France,Europe,Europe,7.0,47,32,7,8,92,43,3,1,1.0,0.3333333333333333,0.6666666666666666,11,5,4,2.75,1.25,1.5,1,1.0425531914893618
2018,Croatia,Europe,Europe,20.0,41,24,10,7,76,26,7,1,2.333333333333333,0.3333333333333333,2.0,7,8,4,1.75,2.0,-0.25,2,1.2195121951219512
2018,Belgium,Europe,Europe,3.0,40,28,7,5,109,37,9,2,3.0,0.6666666666666666,2.333333333333333,7,4,4,1.75,1.0,0.75,3,1.8
2018,England,Europe,Europe,13.0,42,27,10,5,75,27,8,3,2.6666666666666665,1.0,1.6666666666666667,4,5,4,1.0,1.25,-0.25,4,1.1428571428571428
2018,Uruguay,South America,Europe,14.0,40,20,8,12,64,42,5,0,1.6666666666666667,0.0,1.6666666666666667,2,3,2,1.0,1.5,-0.5,5,0.55
2018,Brazil,South America,Europe,2.0,43,31,8,4,90,22,5,1,1.6666666666666667,0.3333333333333333,1.3333333333333333,3,2,2,1.5,1.0,0.5,6,1.5813953488372092
2018,Sweden,Europe,Europe,24.0,46,20,13,13,71,40,5,2,1.6666666666666667,0.6666666666666666,1.0,1,2,2,0.5,1.0,-0.5,7,0.6739130434782609
2018,Russia,Europe,Europe,70.0,41,15,10,16,64,53,8,4,2.6666666666666665,1.3333333333333333,1.3333333333333333,3,3,2,1.5,1.5,0.0,8,0.2682926829268293
2018,Colombia,South America,Europe,16.0,42,19,12,11,57,37,5,2,1.6666666666666667,0.6666666666666666,1.0,1,1,1,1.0,1.0,0.0,9,0.47619047619047616
2018,Spain,Europe,Europe,10.0,42,28,7,7,101,28,6,5,2.0,1.6666666666666667,0.3333333333333333,1,1,1,1.0,1.0,0.0,10,1.7380952380952381
2018,Denmark,Europe,Europe,12.0,38,16,11,11,59,36,2,1,0.6666666666666666,0.3333333333333333,0.3333333333333333,1,1,1,1.0,1.0,0.0,11,0.6052631578947368
2018,Mexico,North America,Europe,15.0,65,36,18,11,106,65,3,4,1.0,1.3333333333333333,-0.3333333333333333,0,2,1,0.0,2.0,-2.0,12,0.6307692307692307
2018,Portugal,Europe,Europe,4.0,50,32,8,10,97,36,5,4,1.6666666666666667,1.3333333333333333,0.3333333333333333,1,2,1,1.0,2.0,-1.0,13,1.22
2018,Switzerland,Europe,Europe,6.0,38,24,6,8,72,30,5,4,1.6666666666666667,1.3333333333333333,0.3333333333333333,0,1,1,0.0,1.0,-1.0,14,1.105263157894737
2018,Japan,Asia,Europe,61.0,49,27,11,11,103,46,4,4,1.3333333333333333,1.3333333333333333,0.0,2,3,1,2.0,3.0,-1.0,15,1.163265306122449
2018,Argentina,South America,Europe,5.0,47,27,12,8,95,40,3,5,1.0,1.6666666666666667,-0.6666666666666666,3,4,1,3.0,4.0,-1.0,16,1.1702127659574468
2018,Senegal,Africa,Europe,27.0,43,26,13,4,67,23,4,4,1.3333333333333333,1.3333333333333333,0.0,0,0,0,0.0,0.0,0.0,17,1.0232558139534884
2018,Iran,Asia,Europe,37.0,42,29,9,4,83,22,2,2,0.6666666666666666,0.6666666666666666,0.0,0,0,0,0.0,0.0,0.0,18,1.4523809523809523
2018,South Korea,Asia,Europe,57.0,55,33,10,12,91,46,3,3,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,19,0.8181818181818182
2018,Peru,South America,Europe,11.0,48,25,11,12,73,47,2,2,0.6666666666666666,0.6666666666666666,0.0,0,0,0,0.0,0.0,0.0,20,0.5416666666666666
2018,Nigeria,Africa,Europe,48.0,35,16,10,9,47,30,3,4,1.0,1.3333333333333333,-0.3333333333333333,0,0,0,0.0,0.0,0.0,21,0.4857142857142857
2018,Serbia,Europe,Europe,34.0,35,15,8,12,50,43,2,4,0.6666666666666666,1.3333333333333333,-0.6666666666666666,0,0,0,0.0,0.0,0.0,22,0.2
2018,Germany,Europe,Europe,1.0,48,29,10,9,108,43,2,4,0.6666666666666666,1.3333333333333333,-0.6666666666666666,0,0,0,0.0,0.0,0.0,23,1.3541666666666667
2018,Tunisia,Africa,Europe,21.0,43,21,13,9,64,41,5,8,1.6666666666666667,2.6666666666666665,-1.0,0,0,0,0.0,0.0,0.0,24,0.5348837209302325
2018,Poland,Europe,Europe,8.0,38,21,12,5,85,38,2,5,0.6666666666666666,1.6666666666666667,-1.0,0,0,0,0.0,0.0,0.0,25,1.236842105263158
2018,Saudi Arabia,Asia,Europe,67.0,49,25,8,16,96,61,2,7,0.6666666666666666,2.333333333333333,-1.6666666666666667,0,0,0,0.0,0.0,0.0,26,0.7142857142857143
